Year;State;NMFS Name;Pounds;Metric Tons;Dollars;Collection;Scientific Name;Tsn;Source
1952;NEW HAMPSHIRE;COD, ATLANTIC;15,700;7;1,727;Commercial;Gadus morhua;164712;ACCSPHIST
1952;NEW JERSEY;COD, ATLANTIC;306,900;139;52,173;Commercial;Gadus morhua;164712;ACCSPHIST
1952;NEW YORK;COD, ATLANTIC;975,100;442;111,459;Commercial;Gadus morhua;164712;ACCSPHIST
1952;OREGON;COD, PACIFIC;136,100;62;6,803;Commercial;Gadus macrocephalus;164711;PACFINHIST
1952;RHODE ISLAND;COD, ATLANTIC;672,500;305;66,661;Commercial;Gadus morhua;164712;ACCSPHIST
1952;VIRGINIA;COD, ATLANTIC;2,400;1;85;Commercial;Gadus morhua;164712;ACCSPHIST
1952;WASHINGTON;COD, PACIFIC;10,707,700;4,857;565,248;Commercial;Gadus macrocephalus;164711;PACFINHIST
1951;CONNECTICUT;COD, ATLANTIC;301,900;137;30,537;Commercial;Gadus morhua;164712;ACCSPHIST
1951;MAINE;COD, ATLANTIC;5,292,800;2,401;289,632;Commercial;Gadus morhua;164712;ACCSPHIST
1951;MARYLAND;COD, ATLANTIC;1,200;1;96;Commercial;Gadus morhua;164712;ACCSPHIST
1951;MASSACHUSETTS;COD, ATLANTIC;40,711,300;18,467;2,896,330;Commercial;Gadus morhua;164712;ACCSPHIST
1951;NEW HAMPSHIRE;COD, ATLANTIC;12,400;6;1,240;Commercial;Gadus morhua;164712;ACCSPHIST
1951;NEW JERSEY;COD, ATLANTIC;599,700;272;57,549;Commercial;Gadus morhua;164712;ACCSPHIST
1951;NEW YORK;COD, ATLANTIC;1,941,100;880;258,976;Commercial;Gadus morhua;164712;ACCSPHIST
1951;OREGON;COD, PACIFIC;135,200;61;6,761;Commercial;Gadus macrocephalus;164711;PACFINHIST
1951;RHODE ISLAND;COD, ATLANTIC;1,160,600;526;100,260;Commercial;Gadus morhua;164712;ACCSPHIST
1951;VIRGINIA;COD, ATLANTIC;2,000;1;80;Commercial;Gadus morhua;164712;ACCSPHIST
1951;WASHINGTON;COD, PACIFIC;9,432,400;4,279;509,357;Commercial;Gadus macrocephalus;164711;PACFINHIST
1950;ALASKA;COD, PACIFIC;858,318;389;22,676;Commercial;Gadus macrocephalus;164711;AKFINHIST
1950;CONNECTICUT;COD, ATLANTIC;256,300;116;27,060;Commercial;Gadus morhua;164712;ACCSPHIST
1950;DELAWARE;COD, ATLANTIC;500;0;85;Commercial;Gadus morhua;164712;ACCSPHIST
1950;MAINE;COD, ATLANTIC;6,613,000;3;304,150;Commercial;Gadus morhua;164712;ACCSPHIST
