Year;State;NMFS Name;Pounds;Metric Tons;Dollars;Collection;Scientific Name;Tsn;Source
1968;NEW HAMPSHIRE;COD, ATLANTIC;109,000;49;9,910;Commercial;Gadus morhua;164712;ACCSPHIST
1968;NEW JERSEY;COD, ATLANTIC;171,900;78;25,302;Commercial;Gadus morhua;164712;ACCSPHIST
1968;NEW YORK;COD, ATLANTIC;364,100;165;46,131;Commercial;Gadus morhua;164712;ACCSPHIST
1968;OREGON;COD, PACIFIC;382,900;174;19,904;Commercial;Gadus macrocephalus;164711;PACFINHIST
1968;RHODE ISLAND;COD, ATLANTIC;1,928,100;875;137,906;Commercial;Gadus morhua;164712;ACCSPHIST
1968;VIRGINIA;COD, ATLANTIC;2,700;1;346;Commercial;Gadus morhua;164712;ACCSPHIST
1968;WASHINGTON;COD, PACIFIC;5,538,800;2,512;321,046;Commercial;Gadus macrocephalus;164711;PACFINHIST
1967;CONNECTICUT;COD, ATLANTIC;306,700;139;26,223;Commercial;Gadus morhua;164712;ACCSPHIST
1967;MAINE;COD, ATLANTIC;3,495,500;1,586;187,594;Commercial;Gadus morhua;164712;ACCSPHIST
1967;MARYLAND;COD, ATLANTIC;21,000;10;1,983;Commercial;Gadus morhua;164712;ACCSPHIST
1967;MASSACHUSETTS;COD, ATLANTIC;38,674,200;17,543;3,186,070;Commercial;Gadus morhua;164712;ACCSPHIST
1967;NEW HAMPSHIRE;COD, ATLANTIC;70,000;32;6,300;Commercial;Gadus morhua;164712;ACCSPHIST
1967;NEW JERSEY;COD, ATLANTIC;51,600;23;6,755;Commercial;Gadus morhua;164712;ACCSPHIST
1967;NEW YORK;COD, ATLANTIC;457,300;207;62,632;Commercial;Gadus morhua;164712;ACCSPHIST
1967;OREGON;COD, PACIFIC;453,300;206;22,153;Commercial;Gadus macrocephalus;164711;PACFINHIST
1967;RHODE ISLAND;COD, ATLANTIC;1,322,900;600;99,868;Commercial;Gadus morhua;164712;ACCSPHIST
1967;VIRGINIA;COD, ATLANTIC;300;0;37;Commercial;Gadus morhua;164712;ACCSPHIST
1967;WASHINGTON;COD, PACIFIC;8,702,000;3,947;460,300;Commercial;Gadus macrocephalus;164711;PACFINHIST
1966;CONNECTICUT;COD, ATLANTIC;170,100;77;13,710;Commercial;Gadus morhua;164712;ACCSPHIST
1966;DELAWARE;COD, ATLANTIC;15,100;7;2,877;Commercial;Gadus morhua;164712;ACCSPHIST
1966;MAINE;COD, ATLANTIC;2,802,400;1,271;176,365;Commercial;Gadus morhua;164712;ACCSPHIST
1966;MARYLAND;COD, ATLANTIC;2,600;1;298;Commercial;Gadus morhua;164712;ACCSPHIST
1966;MASSACHUSETTS;COD, ATLANTIC;33,517,200;15,203;2,899,224;Commercial;Gadus morhua;164712;ACCSPHIST
1966;NEW HAMPSHIRE;COD, ATLANTIC;73,000;33;6,022;Commercial;Gadus morhua;164712;ACCSPHIST
1966;NEW JERSEY;COD, ATLANTIC;15,800;7;2,608;Commercial;Gadus morhua;164712;ACCSPHIST
1966;NEW YORK;COD, ATLANTIC;247,300;112;36,382;Commercial;Gadus morhua;164712;ACCSPHIST
1966;OREGON;COD, PACIFIC;635,600;288;31,625;Commercial;Gadus macrocephalus;164711;PACFINHIST
1966;RHODE ISLAND;COD, ATLANTIC;727,600;330;58,293;Commercial;Gadus morhua;164712;ACCSPHIST
1966;VIRGINIA;COD, ATLANTIC;5,000;2;780;Commercial;Gadus morhua;164712;ACCSPHIST
1966;WASHINGTON;COD, PACIFIC;9,346,600;4,24;485,707;Commercial;Gadus macrocephalus;164711;PACFINHIST
1965;CONNECTICUT;COD, ATLANTIC;121,100;55;9,761;Commercial;Gadus morhua;164712;ACCSPHIST
1965;DELAWARE;COD, ATLANTIC;48,300;22;6,818;Commercial;Gadus morhua;164712;ACCSPHIST
1965;MAINE;COD, ATLANTIC;2,628,884;1,192;129,151;Commercial;Gadus morhua;164712;ACCSPHIST
1965;MARYLAND;COD, ATLANTIC;800;0;99;Commercial;Gadus morhua;164712;ACCSPHIST
1965;MASSACHUSETTS;COD, ATLANTIC;32,193,100;14,603;2,606,780;Commercial;Gadus morhua;164712;ACCSPHIST
1965;NEW HAMPSHIRE;COD, ATLANTIC;85,000;39;7,650;Commercial;Gadus morhua;164712;ACCSPHIST
1965;NEW JERSEY;COD, ATLANTIC;164,700;75;28,363;Commercial;Gadus morhua;164712;ACCSPHIST
1965;NEW YORK;COD, ATLANTIC;365,900;166;53,239;Commercial;Gadus morhua;164712;ACCSPHIST
1965;OREGON;COD, PACIFIC;193,200;88;9,355;Commercial;Gadus macrocephalus;164711;PACFINHIST
1965;RHODE ISLAND;COD, ATLANTIC;436,800;198;35,000;Commercial;Gadus morhua;164712;ACCSPHIST
1965;VIRGINIA;COD, ATLANTIC;2,700;1;393;Commercial;Gadus morhua;164712;ACCSPHIST
1965;WASHINGTON;COD, PACIFIC;9,960,000;4,518;515,801;Commercial;Gadus macrocephalus;164711;PACFINHIST
1964;CONNECTICUT;COD, ATLANTIC;147,100;67;11,651;Commercial;Gadus morhua;164712;ACCSPHIST
1964;DELAWARE;COD, ATLANTIC;53,300;24;6,396;Commercial;Gadus morhua;164712;ACCSPHIST
1964;MAINE;COD, ATLANTIC;2,400,093;1,089;107,475;Commercial;Gadus morhua;164712;ACCSPHIST
1964;MARYLAND;COD, ATLANTIC;13,300;6;2,021;Commercial;Gadus morhua;164712;ACCSPHIST
1964;MASSACHUSETTS;COD, ATLANTIC;34,801,800;15,786;2,383,268;Commercial;Gadus morhua;164712;ACCSPHIST
1964;NEW HAMPSHIRE;COD, ATLANTIC;60,000;27;4,200;Commercial;Gadus morhua;164712;ACCSPHIST
1964;NEW JERSEY;COD, ATLANTIC;283,000;128;44,974;Commercial;Gadus morhua;164712;ACCSPHIST
1964;NEW YORK;COD, ATLANTIC;516,500;234;72,220;Commercial;Gadus morhua;164712;ACCSPHIST
1964;OREGON;COD, PACIFIC;200,500;91;10,026;Commercial;Gadus macrocephalus;164711;PACFINHIST
1964;RHODE ISLAND;COD, ATLANTIC;444,000;201;35,319;Commercial;Gadus morhua;164712;ACCSPHIST
1964;VIRGINIA;COD, ATLANTIC;28,400;13;3,182;Commercial;Gadus morhua;164712;ACCSPHIST
1964;WASHINGTON;COD, PACIFIC;6,212,700;2,818;341,522;Commercial;Gadus macrocephalus;164711;PACFINHIST
